x,y
2.411244126147682465e+01,-6.587898977852574944e+00
2.410487960411895614e+01,-6.680274412063099021e+00
2.409498947330821039e+01,-6.773367270718615885e+00
2.408280346240864134e+01,-6.867167858117326773e+00
2.406835416478434553e+01,-6.961666478557447135e+00
2.405167417379934847e+01,-7.056853436337156893e+00
2.403279608281767565e+01,-7.152719035754635968e+00
2.401175248520345207e+01,-7.249253581108121125e+00
2.398857597432068900e+01,-7.346447376695785181e+00
2.396329914353344037e+01,-7.444290726815822268e+00
2.393595458620578853e+01,-7.542773935766454940e+00
2.390657489570177319e+01,-7.641887307845848909e+00
2.387519266538544827e+01,-7.741621147352212517e+00
2.384184048862086769e+01,-7.841965758583754109e+00
2.380655095877209959e+01,-7.942911445838660711e+00
2.376935666920318369e+01,-8.044448513415133561e+00
2.373029021327820232e+01,-8.146567265611366793e+00
2.368938418436119520e+01,-8.249258006725568748e+00
2.364667117581623046e+01,-8.352511041055919350e+00
2.360218378100730519e+01,-8.456316672900612730e+00
2.355595459329858699e+01,-8.560665206557878548e+00
2.350801620605403031e+01,-8.665546946325882516e+00
2.345840121263774591e+01,-8.770952196502840081e+00
2.340714220641378773e+01,-8.876871261386938272e+00
2.335427178074618126e+01,-8.983294445276378326e+00
2.329982252899898043e+01,-9.090212052469340165e+00
2.324382704453628179e+01,-9.197614387264067659e+00
2.318631792072212505e+01,-9.305491753958712309e+00
2.312732775092056414e+01,-9.413834456851489563e+00
2.306688912849565298e+01,-9.522632800240586448e+00
2.300503464681144550e+01,-9.631877088424218414e+00
2.294179689923200982e+01,-9.741557625700586698e+00
2.287720847912138566e+01,-9.851664716367857011e+00
2.281130197984362695e+01,-9.962188664724244802e+00
2.274410999476281603e+01,-1.007311977506795131e+01
2.267566511724300682e+01,-1.018444835169717066e+01
2.260599994064821061e+01,-1.029616469891011121e+01
2.253514705834255238e+01,-1.040825912100495998e+01
2.246313906369002922e+01,-1.052072192227988978e+01
2.239000855005470925e+01,-1.063354340703313028e+01
2.231578811080067481e+01,-1.074671387956287560e+01
2.224051033929195142e+01,-1.086022364416732700e+01
2.216420782889260721e+01,-1.097406300514465016e+01
2.208691317296673873e+01,-1.108822226679308187e+01
2.200865896487832885e+01,-1.120269173341078783e+01
2.192947779799148833e+01,-1.131746170929599060e+01
2.184940226567024268e+01,-1.143252249874688431e+01
2.176846496127867425e+01,-1.154786440606164888e+01
2.168669847818079432e+01,-1.166347773553847844e+01
2.160413540974074209e+01,-1.177935279147560976e+01
2.152080834932248621e+01,-1.189547987817118724e+01
2.143674989029010902e+01,-1.201184929992346184e+01
2.135199262600770709e+01,-1.212845136103058508e+01
2.126656914983930591e+01,-1.224527636579078660e+01
2.118051205514891677e+01,-1.236231461850222502e+01
2.109385393530067887e+01,-1.247955642346314420e+01
2.100662738365860349e+01,-1.259699208497173117e+01
2.091886499358677298e+01,-1.271461190732616586e+01
2.083059935844921284e+01,-1.283240619482464240e+01
2.074186307160997700e+01,-1.295036525176536202e+01
2.065268872643313358e+01,-1.306847938244654017e+01
2.056310891628276494e+01,-1.318673889116637810e+01
2.047315623452291078e+01,-1.330513408222304861e+01
2.038286327451758240e+01,-1.342365525991473163e+01
2.029226262963091187e+01,-1.354229272853967814e+01
2.020138689322690340e+01,-1.366103679239605384e+01
2.011026865866960378e+01,-1.377987775578205998e+01
2.001894051932313090e+01,-1.389880592299589068e+01
1.992743506855148894e+01,-1.401781159833575430e+01
1.983578489971874603e+01,-1.413688508609983074e+01
1.974402260618893479e+01,-1.425601669058633547e+01
1.965218078132616597e+01,-1.437519671609344840e+01
1.956029201849448640e+01,-1.449441546691939209e+01
1.946838891105790736e+01,-1.461366324736233224e+01
1.937650405238050411e+01,-1.473293036172048431e+01
1.928467003582635186e+01,-1.485220711429206375e+01
1.919291945475949746e+01,-1.497148380937523626e+01
1.910128490254399480e+01,-1.509075075126820309e+01
1.900979897254389073e+01,-1.520999824426917257e+01
1.891849425812326757e+01,-1.532921659267633885e+01
1.882740335264612952e+01,-1.544839610078790315e+01
1.873655884947658024e+01,-1.556752707290205251e+01
1.864599334197869496e+01,-1.568659981331700237e+01
1.855573942351648498e+01,-1.580560462633093266e+01
