x,y
-8.084710899649508065e+00,-3.276734316416158777e+01
-8.436117069046105144e+00,-3.269969322078977569e+01
-8.788048250488571966e+00,-3.263031999653770043e+01
-9.140513271925414074e+00,-3.255920830595952964e+01
-9.493518076159162433e+00,-3.248634051098019881e+01
-9.846874426631700317e+00,-3.241153390389226985e+01
-1.020008032412010834e+01,-3.233433905096967464e+01
-1.055260522747154539e+01,-3.225428225532128579e+01
-1.090391859553299980e+01,-3.217088982005590481e+01
-1.125348988715165888e+01,-3.208368804828241849e+01
-1.160078856117458201e+01,-3.199220324310965324e+01
-1.194528407644892809e+01,-3.189596170764647098e+01
-1.228644589182172808e+01,-3.179448974500173009e+01
-1.262374346614012666e+01,-3.168731365828425339e+01
-1.295664625825124006e+01,-3.157395975060290638e+01
-1.328462372700214189e+01,-3.145395432506652611e+01
-1.360714533123993419e+01,-3.132682368478396384e+01
-1.392368052981174742e+01,-3.119209413286407795e+01
-1.423369878156466939e+01,-3.104929197241570193e+01
-1.453666954534580213e+01,-3.089794350654770483e+01
-1.483206228000226190e+01,-3.073757503836892369e+01
-1.511934644438113651e+01,-3.056771287098818490e+01
-1.539799149732954220e+01,-3.038788330751438593e+01
-1.566746689769459522e+01,-3.019761265105632830e+01
-1.592724210432334075e+01,-2.999642720472289170e+01
-1.617678657606293768e+01,-2.978385327162290608e+01
-1.641556977176047383e+01,-2.955941715486521559e+01
-1.664307741232147464e+01,-2.932266177802917184e+01
-1.685936888266944322e+01,-2.907371637213594084e+01
-1.706521658503932315e+01,-2.881343890025679855e+01
-1.726143746819552405e+01,-2.854273285378781111e+01
-1.744884848090248397e+01,-2.826250172412506600e+01
-1.762826657192468360e+01,-2.797364900266469689e+01
-1.780050869002653258e+01,-2.767707818080274507e+01
-1.796639178397245473e+01,-2.737369274993535839e+01
-1.812673280252688812e+01,-2.706439620145859237e+01
-1.828234869445429922e+01,-2.675009202676856290e+01
-1.843405640851906924e+01,-2.643168371726137167e+01
-1.858267289348574991e+01,-2.611007476433305641e+01
-1.872901509811867982e+01,-2.578616865937978986e+01
-1.887389997118228280e+01,-2.546086889379762397e+01
-1.901814446144108217e+01,-2.513507895898262845e+01
-1.916256551765944494e+01,-2.480970234633095828e+01
-1.930798008860185178e+01,-2.448564254723866540e+01
-1.945520512303272653e+01,-2.416380305310187282e+01
-1.960505756971650726e+01,-2.384508735531662538e+01
-1.975835437741760359e+01,-2.353039894527907094e+01
-1.991591249490049620e+01,-2.322064131438528989e+01
-2.007854887092962315e+01,-2.291671795403134837e+01
-2.024708045426937986e+01,-2.261953235561337294e+01
-2.042232419368424701e+01,-2.232998801052744042e+01
-2.060509703793863423e+01,-2.204898841016965605e+01
-2.079621593579700800e+01,-2.177743704593610730e+01
-2.099649783602380637e+01,-2.151623740922288164e+01
-2.120675968738342476e+01,-2.126629299142609142e+01
-2.142781843864030122e+01,-2.102850728394180635e+01
-2.166049011981486672e+01,-2.080378290880310388e+01
-2.190522957931054293e+01,-2.059268071935641231e+01
-2.216158278100967038e+01,-2.039490153550656970e+01
-2.242895497195821974e+01,-2.021001302362547136e+01
-2.270675139920213326e+01,-2.003758285008490603e+01
-2.299437730978739580e+01,-1.987717868125678322e+01
-2.329123795075997805e+01,-1.972836818351291654e+01
-2.359673856916585066e+01,-1.959071902322516223e+01
-2.391028441205097010e+01,-1.946379886676536941e+01
-2.423128072646132125e+01,-1.934717538050539787e+01
-2.455913275944281793e+01,-1.924041623081708252e+01
-2.489324575804153028e+01,-1.914308908407227605e+01
-2.523302496930332950e+01,-1.905476160664283825e+01
-2.557787564027421467e+01,-1.897500146490060757e+01
-2.592720301800015648e+01,-1.890337632521743316e+01
-2.628041234952709715e+01,-1.883945385396519256e+01
-2.663690888190103578e+01,-1.878280171751570649e+01
-2.699609786216794305e+01,-1.873298758224082761e+01
-2.735738453737376119e+01,-1.868957911451239440e+01
-2.772017415456450351e+01,-1.865214398070229507e+01
-2.808387196078604120e+01,-1.862024984718233966e+01
-2.844788320308443019e+01,-1.859346438032440574e+01
-2.881161312850562695e+01,-1.857135524650032110e+01
-2.917446698409557371e+01,-1.855349011208194909e+01
-2.953589363833560810e+01,-1.853945555559580427e+01
-2.989573231733085379e+01,-1.852900739584421430e+01
-3.025402786280066891e+01,-1.852199059666255820e+01
-3.061082695867888503e+01,-1.851825092058177447e+01
-3.096617628889939056e+01,-1.851763413013279092e+01
-3.132012253739615915e+01,-1.851998598784649630e+01
-3.167271238810293710e+01,-1.852515225625387529e+01
-3.202399252495369808e+01,-1.853297869788580954e+01
-3.237400963188227365e+01,-1.854331107527321620e+01
-3.272281039282252380e+01,-1.855599515094705509e+01
-3.307044149170835112e+01,-1.857087668743822917e+01
-3.341694961247362983e+01,-1.858780144727767336e+01
-3.376238143905223410e+01,-1.860661519299629418e+01
-3.410678365537803813e+01,-1.862716368712504078e+01
-3.445020294538494454e+01,-1.864929269219480190e+01
-3.479268599300681331e+01,-1.867284797073655156e+01
-3.513427948217750441e+01,-1.869767528528118206e+01
-3.547503009683090625e+01,-1.872362039835960346e+01
-3.581498452090089302e+01,-1.875052907250276846e+01
-3.615418943832132470e+01,-1.877824707024159068e+01
-3.649269153302613233e+01,-1.880662015410701216e+01
-3.683053748894911905e+01,-1.883549408662992164e+01
-3.716777399002424431e+01,-1.886471463034127893e+01
